pt100 Ohm	Amp mV
172.4	1347
170	1470
168.4	1464
166.7	1422
164.7	1340
162.8	1253
161.2	1139
159.8	1048
158.2	938
157	845
156.1	777
155.1	699
154.4	642
153.6	579
152.8	525
152	478
151.1	450
150.7	414
150.1	393
149.4	366
148.9	342
148.4	323
147.9	302
147.5	287
147.2	272
146.9	261
146.5	250
146.1	237
145.7	226
145.3	215
145	203
144.6	192
144.1	178
143.7	168
143.3	160
142.8	149
142.5	139
142.1	130
141.6	122
140.9	108
140.6	102
140.3	96
139.9	89
139.5	84
139.1	78
138.5	69
138.2	66
137.6	59
137	53
136.6	49
136	45
135.1	38
134	27
132.6	20
131.7	17
130.8	14.6
128.8	11.7
