schaube 		Amp mV	
0.9	0.005	6.8	0.5
0.95	0.005	6.7	0.5
1	0.005	7.2	0.5
1.05	0.005	7.3	0.5
1.1	0.005	7.2	0.5
1.15	0.005	7.5	0.5
1.2	0.005	7.6	0.5
1.25	0.005	7.6	0.5
1.3	0.005	8	0.5
1.35	0.005	7.7	0.5
1.4	0.005	7.6	0.5
1.45	0.005	8.5	0.5
1.5	0.005	7.8	0.5
1.55	0.005	7.8	0.5
1.6	0.005	8.2	0.5
1.65	0.005	8.8	0.5
1.7	0.005	8.8	0.5
1.75	0.005	9.1	0.5
1.8	0.005	9.3	0.5
1.85	0.005	10.2	0.5
1.9	0.005	10.5	0.5
1.95	0.005	11	0.5
2	0.005	11.5	0.5
2.05	0.005	12.1	0.5
2.1	0.005	12.5	0.5
2.15	0.005	13.6	0.5
2.2	0.005	14.5	0.5
2.25	0.005	14.9	0.5
2.3	0.005	17.2	0.5
2.35	0.005	18.4	0.5
2.4	0.005	21	1
2.45	0.005	23.3	1
2.5	0.005	28	1
2.55	0.005	36	1
2.6	0.005	45	1
2.65	0.005	55	1
2.7	0.005	69	2
2.75	0.005	87	2
2.8	0.005	148	3
2.85	0.005	312	4
2.9	0.005	497	4
2.95	0.005	547	4
3	0.005	461	4
3.05	0.005	254	4
3.1	0.005	122	3
3.15	0.005	89	2
3.2	0.005	74	2
3.25	0.005	62	1
3.3	0.005	52	1
3.35	0.005	43	1
3.4	0.005	42	1
