pt100 Ohm		Amp mV	
172.4	1	1347	5
170	1	1470	5
168.4	1	1464	5
166.7	1	1422	5
164.7	1	1340	5
162.8	1	1253	5
161.2	1	1139	5
159.8	1	1048	5
158.2	0.5	938	5
157	0.5	845	5
156.1	0.5	777	5
155.1	0.5	699	3
154.4	0.5	642	3
153.6	0.5	579	3
152.8	0.5	525	3
152	0.5	478	3
151.1	0.5	450	3
150.7	0.5	414	3
150.1	0.5	393	3
149.4	0.5	366	3
148.9	0.2	342	3
148.4	0.2	323	3
147.9	0.2	302	3
147.5	0.2	287	3
147.2	0.2	272	3
146.9	0.2	261	3
146.5	0.2	250	3
146.1	0.2	237	2
145.7	0.2	226	2
145.3	0.2	215	2
145	0.2	203	2
144.6	0.2	192	2
144.1	0.2	178	2
143.7	0.2	168	2
143.3	0.2	160	2
142.8	0.2	149	2
142.5	0.1	139	2
142.1	0.1	130	2
141.6	0.1	122	2
140.9	0.1	108	2
140.6	0.1	102	2
140.3	0.1	96	1
139.9	0.1	89	1
139.5	0.1	84	1
139.1	0.1	78	1
138.5	0.1	69	1
138.2	0.1	66	1
137.6	0.1	59	1
137	0.1	53	1
136.6	0.1	49	1
136	0.1	45	1
135.1	0.1	38	1
134	0.1	27	1
132.6	0.1	20	1
131.7	0.1	17	1
130.8	0.1	14.6	1
128.8	0.1	11.7	1
