1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
3.317889	0
21.539609	3072
43.403516	6144
63.52875	9216
83.678906	12288
103.931406	15360
123.072422	18432
142.680156	21504
161.198359	24576
179.601641	27648
196.94125	30720
215.13375	33792
231.736016	36864
248.247266	39936
262.899844	43008
278.023125	46080
292.395859	49152
306.297266	52224
319.097734	55296
331.481719	58368
343.318125	61440
354.722031	64512
366.446719	67584
376.644688	70656
386.668437	73728
395.108516	76800
403.723672	79872
411.736094	82944
419.315547	86016
426.170937	89088
433.270625	92160
439.166641	95232
