1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
3.203887	0
22.198281	3072
43.277656	6144
64.555859	9216
84.615938	12288
105.079688	15360
125.198594	18432
144.308516	21504
163.802266	24576
182.595234	27648
199.000391	30720
217.124531	33792
234.063281	36864
250.931484	39936
265.843594	43008
280.927109	46080
295.399688	49152
309.195781	52224
322.106797	55296
334.511328	58368
346.586328	61440
357.781875	64512
368.905781	67584
379.251406	70656
389.047266	73728
398.142891	76800
406.273359	79872
414.331719	82944
422.21625	86016
428.816406	89088
435.372969	92160
441.525078	95232
