1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	520.904246
1.500000	514.940812
2.500000	516.132938
3.500000	515.542574
4.500000	518.325563
5.500000	517.440643
6.500000	517.370459
7.500000	514.371057
8.500000	520.990356
9.500000	515.336000
10.500000	515.653765
11.500000	511.265877
12.500000	510.701319
13.500000	515.106334
14.500000	512.493778
15.500000	508.438651
16.500000	513.509536
17.500000	508.066699
18.500000	508.326504
19.500000	511.092840
20.500000	510.626299
21.500000	507.101903
22.500000	505.148279
23.500000	506.451474
24.500000	504.686117
25.500000	501.530089
26.500000	505.805188
27.500000	501.538455
28.500000	509.664244
29.500000	497.438056
30.500000	504.639318
31.500000	510.185348
32.500000	506.148007
33.500000	507.691013
34.500000	505.593055
35.500000	505.866007
36.500000	507.730927
37.500000	512.631296
38.500000	508.793017
39.500000	506.631468
40.500000	514.384781
41.500000	510.722842
42.500000	505.098820
43.500000	506.810371
44.500000	504.271021
45.500000	511.130041
46.500000	506.607530
47.500000	512.098083
48.500000	505.766942
49.500000	504.523839
50.500000	511.386776
51.500000	504.447797
52.500000	504.401303
53.500000	509.716624
54.500000	505.837534
55.500000	510.563968
56.500000	509.057229
57.500000	505.919414
58.500000	502.981667
59.500000	509.300705
60.500000	509.130365
61.500000	508.077550
62.500000	507.523404
63.500000	505.322343
64.500000	503.167435
65.500000	507.053337
66.500000	506.709304
67.500000	507.260107
68.500000	504.504640
69.500000	506.015444
70.500000	506.594485
71.500000	503.916101
72.500000	504.316453
73.500000	502.632381
74.500000	505.146448
75.500000	511.434263
76.500000	507.240747
77.500000	507.593934
78.500000	504.453323
79.500000	502.560424
80.500000	505.300471
81.500000	504.978246
82.500000	503.657634
83.500000	500.066214
84.500000	504.431502
85.500000	504.518060
86.500000	503.290303
87.500000	502.557445
88.500000	506.483504
89.500000	507.960727
90.500000	503.907718
91.500000	503.516402
92.500000	506.406980
93.500000	500.746178
94.500000	504.881854
95.500000	505.276228
96.500000	500.151533
97.500000	504.439825
98.500000	510.745434
99.500000	513.372653
100.500000	507.702431
101.500000	506.819958
102.500000	508.538144
103.500000	507.609542
104.500000	505.353872
105.500000	509.125534
106.500000	507.173400
107.500000	505.742751
108.500000	503.900243
109.500000	505.882495
110.500000	507.191700
111.500000	505.531563
112.500000	507.875347
113.500000	506.243904
114.500000	508.046688
115.500000	506.336000
116.500000	507.211366
117.500000	511.094812
118.500000	511.453890
119.500000	507.200352
120.500000	504.983056
121.500000	505.119865
122.500000	505.515511
123.500000	509.411182
124.500000	512.121657
125.500000	501.300096
126.500000	504.830129
127.500000	503.133120
