1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	5.070728
1.500000	3.897288
2.500000	4.267749
3.500000	4.304161
4.500000	4.179203
5.500000	4.154271
6.500000	4.003081
7.500000	4.326858
8.500000	4.007190
9.500000	4.174390
10.500000	4.110998
11.500000	3.785600
12.500000	4.380357
13.500000	3.914971
14.500000	4.065703
15.500000	3.561054
16.500000	3.961184
17.500000	3.962267
18.500000	3.912281
19.500000	3.846546
20.500000	3.978871
21.500000	3.717409
22.500000	3.670101
23.500000	3.974851
24.500000	3.942656
25.500000	3.963887
26.500000	4.281077
27.500000	3.767318
28.500000	4.044938
29.500000	3.967057
30.500000	3.645421
31.500000	3.868349
32.500000	3.710504
33.500000	3.868486
34.500000	4.148413
35.500000	4.103500
36.500000	3.821126
37.500000	4.074268
38.500000	4.066427
39.500000	3.815082
40.500000	3.782963
41.500000	3.980261
42.500000	4.000266
43.500000	4.048752
44.500000	3.809790
45.500000	3.873325
46.500000	3.823908
47.500000	3.847107
48.500000	3.809306
49.500000	3.744346
50.500000	3.773234
51.500000	3.955250
52.500000	4.002040
53.500000	3.832248
54.500000	3.973353
55.500000	3.809078
56.500000	3.935177
57.500000	4.210055
58.500000	3.836224
59.500000	3.749778
60.500000	3.894749
61.500000	4.383841
62.500000	3.732193
63.500000	4.086876
64.500000	4.166803
65.500000	3.967456
66.500000	4.113944
67.500000	4.153366
68.500000	3.826747
69.500000	3.980268
70.500000	3.937059
71.500000	3.794086
72.500000	4.063132
73.500000	4.328725
74.500000	3.933106
75.500000	4.073341
76.500000	4.077428
77.500000	4.142505
78.500000	3.867415
79.500000	4.171858
80.500000	4.111069
81.500000	4.036261
82.500000	4.131201
83.500000	4.057116
84.500000	3.999258
85.500000	3.764007
86.500000	4.002797
87.500000	4.228389
88.500000	3.926050
89.500000	4.108764
90.500000	4.026971
91.500000	3.798233
92.500000	4.017436
93.500000	3.791568
94.500000	4.005687
95.500000	3.917235
96.500000	3.969043
97.500000	3.619459
98.500000	4.106318
99.500000	4.234915
100.500000	3.917840
101.500000	3.956595
102.500000	4.205510
103.500000	3.793484
104.500000	4.044131
105.500000	4.221078
106.500000	4.024080
107.500000	3.876122
108.500000	3.895138
109.500000	4.167236
110.500000	4.127337
111.500000	3.883754
112.500000	3.989218
113.500000	4.142121
114.500000	4.107545
115.500000	3.566074
116.500000	4.285030
117.500000	4.199657
118.500000	3.974347
119.500000	3.707163
120.500000	4.100191
121.500000	3.832548
122.500000	4.092541
123.500000	4.110618
124.500000	4.834232
125.500000	4.079158
126.500000	4.095227
127.500000	5.110483
