1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	522.398829
1.500000	518.681394
2.500000	519.961459
3.500000	518.086833
4.500000	523.386941
5.500000	521.538514
6.500000	518.753166
7.500000	516.034013
8.500000	523.441590
9.500000	518.564493
10.500000	518.377055
11.500000	514.313808
12.500000	512.408150
13.500000	517.764492
14.500000	517.903542
15.500000	511.930191
16.500000	515.147473
17.500000	511.103800
18.500000	512.345916
19.500000	512.355663
20.500000	512.678914
21.500000	508.683659
22.500000	506.973157
23.500000	508.309957
24.500000	506.810001
25.500000	502.315594
26.500000	506.694941
27.500000	504.916498
28.500000	508.499204
29.500000	500.477004
30.500000	506.612858
31.500000	510.679194
32.500000	507.829222
33.500000	510.010762
34.500000	505.515975
35.500000	505.877771
36.500000	509.801670
37.500000	514.131318
38.500000	510.622143
39.500000	509.098567
40.500000	515.127918
41.500000	508.752940
42.500000	507.225709
43.500000	507.639664
44.500000	503.141212
45.500000	512.314189
46.500000	508.008070
47.500000	512.867901
48.500000	506.577395
49.500000	504.846909
50.500000	510.638389
51.500000	505.447048
52.500000	505.603145
53.500000	510.258272
54.500000	506.031505
55.500000	510.050044
56.500000	508.369434
57.500000	505.671087
58.500000	504.240054
59.500000	509.982797
60.500000	509.258696
61.500000	510.317118
62.500000	507.796489
63.500000	505.781305
64.500000	502.639217
65.500000	507.462204
66.500000	507.184473
67.500000	509.276888
68.500000	504.150156
69.500000	505.152008
70.500000	504.273671
71.500000	503.654884
72.500000	504.873765
73.500000	502.367508
74.500000	505.732165
75.500000	510.603060
76.500000	508.500984
77.500000	509.101206
78.500000	504.309064
79.500000	504.910999
80.500000	504.933601
81.500000	504.752190
82.500000	504.005928
83.500000	499.234589
84.500000	503.819588
85.500000	503.777457
86.500000	504.978164
87.500000	501.264748
88.500000	506.672304
89.500000	506.276441
90.500000	504.123326
91.500000	504.361743
92.500000	506.283913
93.500000	500.658252
94.500000	506.270837
95.500000	507.433981
96.500000	501.907931
97.500000	502.644348
98.500000	511.976118
99.500000	513.854057
100.500000	507.737609
101.500000	507.302283
102.500000	508.712444
103.500000	508.472439
104.500000	507.184918
105.500000	509.461899
106.500000	507.847897
107.500000	506.698458
108.500000	503.916164
109.500000	506.041898
110.500000	508.402852
111.500000	507.632032
112.500000	509.926764
113.500000	506.142268
114.500000	509.875952
115.500000	506.860505
116.500000	507.817029
117.500000	511.462071
118.500000	512.725754
119.500000	509.539193
120.500000	504.871937
121.500000	507.987794
122.500000	507.293505
123.500000	510.110996
124.500000	513.270030
125.500000	503.912158
126.500000	507.697744
127.500000	501.981728
