1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	6.611121
1.500000	6.646836
2.500000	6.505688
3.500000	6.562274
4.500000	6.451182
5.500000	6.677773
6.500000	5.874908
7.500000	6.023201
8.500000	6.424885
9.500000	6.611518
10.500000	6.134236
11.500000	6.143821
12.500000	6.001760
13.500000	6.524491
14.500000	5.928804
15.500000	6.062975
16.500000	5.391074
17.500000	6.199644
18.500000	6.853917
19.500000	6.182939
20.500000	6.483149
21.500000	5.848020
22.500000	6.112424
23.500000	5.562008
24.500000	6.046663
25.500000	6.152206
26.500000	5.865353
27.500000	6.556150
28.500000	6.273549
29.500000	6.180463
30.500000	5.656132
31.500000	6.021632
32.500000	6.025895
33.500000	5.826450
34.500000	5.818112
35.500000	6.452658
36.500000	5.856248
37.500000	6.254444
38.500000	6.433526
39.500000	6.161485
40.500000	6.145107
41.500000	5.920451
42.500000	6.255318
43.500000	6.068032
44.500000	6.428957
45.500000	5.938502
46.500000	6.246039
47.500000	5.708273
48.500000	5.977344
49.500000	5.759567
50.500000	5.839518
51.500000	5.873616
52.500000	5.780986
53.500000	5.827537
54.500000	6.038878
55.500000	5.846207
56.500000	5.964240
57.500000	5.529465
58.500000	5.951436
59.500000	6.007801
60.500000	6.079947
61.500000	6.047444
62.500000	5.970586
63.500000	6.014153
64.500000	6.029565
65.500000	6.154499
66.500000	5.740286
67.500000	6.181768
68.500000	5.972570
69.500000	6.283946
70.500000	6.215868
71.500000	6.084845
72.500000	6.098114
73.500000	6.118052
74.500000	6.018307
75.500000	6.309635
76.500000	5.922890
77.500000	6.160660
78.500000	5.984352
79.500000	6.297010
80.500000	6.004565
81.500000	5.959030
82.500000	6.718467
83.500000	6.160381
84.500000	5.459558
85.500000	6.301108
86.500000	6.276188
87.500000	6.038908
88.500000	5.939227
89.500000	5.819933
90.500000	5.874066
91.500000	5.843796
92.500000	5.958611
93.500000	6.170880
94.500000	6.193326
95.500000	6.454465
96.500000	6.359753
97.500000	6.083105
98.500000	6.346475
99.500000	6.064635
100.500000	6.113025
101.500000	5.886739
102.500000	6.136776
103.500000	6.110955
104.500000	6.150496
105.500000	5.792091
106.500000	5.775100
107.500000	6.008907
108.500000	6.256442
109.500000	5.685593
110.500000	6.220302
111.500000	6.542138
112.500000	5.829821
113.500000	6.389112
114.500000	5.836981
115.500000	5.917296
116.500000	6.320446
117.500000	6.286068
118.500000	6.104656
119.500000	5.759578
120.500000	5.903350
121.500000	6.189554
122.500000	6.416680
123.500000	5.999578
124.500000	5.724456
125.500000	5.850929
126.500000	5.899055
127.500000	7.009000
