1D 50 0.000000 100.000000	[nbin xmin xmax]
"X"	"Function_0"
1.000000	91.742075
3.000000	142.138448
5.000000	151.288882
7.000000	146.887877
9.000000	139.901712
11.000000	143.832618
13.000000	133.070115
15.000000	136.797395
17.000000	140.402232
19.000000	128.062677
21.000000	126.684128
23.000000	122.740525
25.000000	122.597547
27.000000	123.432879
29.000000	112.357743
31.000000	117.274681
33.000000	110.540427
35.000000	112.697655
37.000000	107.910081
39.000000	102.225569
41.000000	108.895293
43.000000	100.666772
45.000000	99.475979
47.000000	96.399335
49.000000	94.502201
51.000000	91.945445
53.000000	88.611877
55.000000	90.411318
57.000000	86.506828
59.000000	82.608857
61.000000	86.873885
63.000000	79.663500
65.000000	79.360856
67.000000	82.316588
69.000000	75.201563
71.000000	77.466464
73.000000	75.240769
75.000000	69.005680
77.000000	70.501868
79.000000	66.433901
81.000000	70.117798
83.000000	65.615267
85.000000	64.362655
87.000000	60.139609
89.000000	62.349926
91.000000	61.701236
93.000000	60.323684
95.000000	58.283313
97.000000	57.295464
99.000000	53.608823
