1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	3.203887
3072.000000	22.198281
6144.000000	43.277656
9216.000000	64.555859
12288.000000	84.615938
15360.000000	105.079688
18432.000000	125.198594
21504.000000	144.308516
24576.000000	163.802266
27648.000000	182.595234
30720.000000	199.000391
33792.000000	217.124531
36864.000000	234.063281
39936.000000	250.931484
43008.000000	265.843594
46080.000000	280.927109
49152.000000	295.399688
52224.000000	309.195781
55296.000000	322.106797
58368.000000	334.511328
61440.000000	346.586328
64512.000000	357.781875
67584.000000	368.905781
70656.000000	379.251406
73728.000000	389.047266
76800.000000	398.142891
79872.000000	406.273359
82944.000000	414.331719
86016.000000	422.216250
89088.000000	428.816406
92160.000000	435.372969
95232.000000	441.525078
