1D 32 -4.000000 252.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	146.896563
8.000000	154.150703
16.000000	162.776953
24.000000	172.594688
32.000000	178.532422
40.000000	187.446797
48.000000	194.370078
56.000000	198.297188
64.000000	199.687031
72.000000	193.822969
80.000000	174.989375
88.000000	137.059063
96.000000	77.058281
104.000000	14.825273
112.000000	2.906316
120.000000	3.216303
128.000000	3.113104
136.000000	3.452807
144.000000	3.778452
152.000000	3.180982
160.000000	3.154075
168.000000	3.095945
176.000000	3.349493
184.000000	2.597816
192.000000	3.154966
200.000000	3.083093
208.000000	2.988704
216.000000	2.916319
224.000000	3.669128
232.000000	2.898179
240.000000	3.149787
248.000000	3.293060
